nama_kos,lokasi,kota,harga,tipe_kos,Kasur,AC,WiFi,K. Mandi Dalam,Kloset Duduk,Lemari,Meja,Dapur,Parkir Motor,Parkir Mobil,Mesin Cuci,Laundry,Akses 24 Jam,Air Panas
Kost Griya Ismah Tipe Vip,Ciputat Timur,Surabaya,Rp900.000,Putri,Ada,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Marina,Kecamatan Pondok Aren,Surabaya,Rp900.000,Putri,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Baru STAN,Pondok Aren,Surabaya,Rp1.000.000,Putra,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Griya 17,Kecamatan Pondok Aren,Surabaya,Rp1.250.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost STAN Tipe B Jurang Mangu,Pondok Aren,Surabaya,Rp925.000,Campur,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Garuda 8,Ciputat,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Asoka D215 Tipe Ac,Ciputat,Surabaya,Rp1.200.000,Putri,Ada,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bu Wulan,Kecamatan Ciputat Timur,Surabaya,Rp1.200.000,Putri,Ada,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bunda Ica Tipe A,Kecamatan Ciputat,Surabaya,Rp600.000,Putri,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Sistraa Tipe A,Kecamatan Ciputat,Surabaya,Rp1.700.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Syifa Standart,Kecamatan Ciputat,Surabaya,Rp1.350.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Mama Eel,Ciputat Timur,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Griya Embassy Tipe A,Pondok Aren,Surabaya,Rp700.000,Putra,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
