nama_kos,lokasi,kota,harga,tipe_kos,Kasur,AC,WiFi,K. Mandi Dalam,Kloset Duduk,Lemari,Meja,Dapur,Parkir Motor,Parkir Mobil,Mesin Cuci,Laundry,Akses 24 Jam,Air Panas
Kost Graha 89 Tipe A,Ciputat,Surabaya,Rp1.750.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Arsyila Tipe C1,Kecamatan Ciputat Timur,Surabaya,Rp550.000,Putri,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Arsyila E1,Kecamatan Ciputat Timur,Surabaya,Rp425.000,Putri,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Afiya Tipe Standar,Kecamatan Ciputat Timur,Surabaya,Rp1.750.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hidayah Tipe A1,Kecamatan Pondok Aren,Surabaya,Rp1.500.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Teduh Tipe 3,Kecamatan Ciputat Timur,Malang,Rp900.000,Putri,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Titut Tipe A,Pondok Aren,Malang,Rp1.050.000,Putri,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Barlie House C2,Ciputat,Malang,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hidayah Tipe B1,Kecamatan Pondok Aren,Malang,Rp900.000,Putra,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hidayah Tipe D,Kecamatan Pondok Aren,Malang,Rp950.000,Putra,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Elpiji Tipe F,Ciputat Timur,Jember,Rp950.000,Putri,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Granit VVIP,Kecamatan Pondok Aren,Jember,Rp1.300.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hayashi Guest House,Pondok Aren,Jember,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hidayah Tipe C,Kecamatan Pondok Aren,Jember,Rp950.000,Putra,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Of Danish Tipe A,Pondok Aren,Jember,Rp1.500.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Co Living Studio Room 07,Kecamatan Pondok Aren,Jember,Rp1.950.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bhyant Studio Vvip,Ciputat Timur,Jember,Rp1.615.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Kak Ethe Vip,Kecamatan Ciputat,Jember,Rp1.400.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bhyant Studio Bintaro Pondok Ranji Paviliun Studio Selatan,Ciputat Timur,Jember,Rp1.615.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Dhomee Tipe Sedang,Kecamatan Ciputat Timur,Kediri,Rp1.900.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bintaro Sektor 7 AA,Kecamatan Ciputat,Kediri,Rp1.550.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Teduh Tipe Kamar Mandi Luar,Kecamatan Ciputat Timur,Kediri,Rp800.000,Putri,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bluesea,Kecamatan Pondok Aren,Mojokerto,Rp750.000,Putri,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Iris Vila,Kecamatan Pondok Aren,Lumajang,Rp1.300.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
